type,timestamp,wall_ts,wall_time_iso,angle,distance,snr_db,coherence,diameter_m,update_flag,error_plane_us,error_near_us,rho_hat,valid,loudness_db,loudness_rms,loudness_peak_abs,sound_pressure_level_dbfs,frame_rms,peak_abs
data,0.512,1776432468.2880652,2026-04-17T21:27:48.288+08:00,138.73312925595167,0.9660686266397507,-57.50899629157935,6.977354768021831,0.12,0,139.95638276679463,356.3247845270383,3.524529850828955,True,-42.31520638481528,0.007660192450706617,0.020363807201130135,-55.16685883384689,0.0017444441043789156,0.004486083984375
data,0.5333333333333333,1776432468.3084514,2026-04-17T21:27:48.308+08:00,137.85117931551696,1.2737856945317412,-61.17523160136915,6.996963111684476,0.12,1,190.24731079059762,187.45910456152296,1.4395633944491528,True,-41.49544979224258,0.00841836032082918,0.023734184148676778,-54.55444528258419,0.001871878843802997,0.003387451171875
data,0.5546666666666666,1776432468.3297567,2026-04-17T21:27:48.329+08:00,137.72412934339542,1.1761417284572246,-58.29302485971149,6.774363979752573,0.12,0,173.17202625206986,266.4869929263388,0.06239403123589775,True,-42.427991913872354,0.007561368510028888,0.01744813356201453,-55.21197776624162,0.001735406068082361,0.00335693359375
data,0.576,1776432468.3482583,2026-04-17T21:27:48.348+08:00,138.39426186662115,1.2708992711362337,-59.348674268308265,6.1873322861218965,0.12,0,129.62130887047385,275.15816578197234,2.3668286269395984,True,-40.49417258953176,0.00944694464363244,0.024203842590641414,-53.40588704758329,0.0021365135308941824,0.00408935546875
data,0.5973333333333334,1776432468.368045,2026-04-17T21:27:48.368+08:00,141.73115023609347,1.3534079700567978,-55.482687392042884,6.6315308822332595,0.12,0,224.07117288742486,251.0312396440341,2.4776631467426475,True,-40.39572000548799,0.009554632770378203,0.021445727435967184,-53.03170031486453,0.002230565518195369,0.004730224609375
data,0.6186666666666667,1776432468.3867753,2026-04-17T21:27:48.386+08:00,148.6479720153274,0.9050448614426843,-59.32875834889379,6.862331174502674,0.12,1,141.75382900463026,283.62191836909057,0.6746551800618676,True,-40.35680500180889,0.009597536002091346,0.037768063018301705,-53.69552000518658,0.002066445709185377,0.00396728515625
data,0.64,1776432468.4056518,2026-04-17T21:27:48.405+08:00,151.29108200428743,0.8750786435993366,-58.485665073768196,6.668775721659274,0.12,1,132.33230576501134,325.1844284468142,0.8597551955209498,True,-41.16012284596634,0.00874971400275443,0.027387623258040627,-54.097336725421115,0.0019730276147155003,0.0037841796875
data,0.6613333333333333,1776432468.4385624,2026-04-17T21:27:48.438+08:00,151.29108200428743,0.8750786435993366,-61.368787438644425,6.505298319883869,0.12,0,205.0205702652527,375.73459855746177,3.9013420495646254,True,-43.208536718037045,0.006911513554902135,0.022634342774598085,-56.519343889892795,0.0014929071757473402,0.003082275390625
data,0.6826666666666666,1776432468.4636,2026-04-17T21:27:48.463+08:00,137.70043887323527,1.4286163856316298,-62.32286215274606,6.6986478274198635,0.12,1,142.45575686349355,343.9304522119103,1.743388542960562,True,-44.159038468659936,0.00619509651238843,0.01791256826700836,-57.216089843359086,0.001377829591561006,0.003173828125
data,0.704,1776432468.4779735,2026-04-17T21:27:48.477+08:00,138.83695746914344,1.5496011137340164,-61.13432566351403,6.43764968597784,0.12,1,146.91912670035475,371.0031840547343,1.6149701483087995,True,-44.682174574824565,0.0058329905288676326,0.013608292772689493,-57.5610613438175,0.0013241797215074694,0.00274658203125
