type,timestamp,wall_ts,wall_time_iso,angle,distance,snr_db,coherence,diameter_m,update_flag,error_plane_us,error_near_us,rho_hat,valid,loudness_db,loudness_rms,loudness_peak_abs,sound_pressure_level_db,frame_rms,peak_abs
data,24.874666666666666,1776433657.791518,2026-04-17T21:47:37.791+08:00,9.82276939145251,1.3783688408175383,-51.52082440157065,7.810517234651224,0.24,0,181.2590170802944,505.893820391618,3.9275564471718574,True,89.76026172160587,0.06152379009024816,0.15786497577445907,91.80767010980682,0.07787776892117161,0.017974853515625
data,24.896,1776433657.8130517,2026-04-17T21:47:37.813+08:00,9.82276939145251,1.3783688408175383,-53.02782336770957,7.4663278079155395,0.24,0,223.09430007281597,518.7282372454704,4.149820284852995,True,89.8409433572764,0.062097935730187966,0.16740920490417036,91.86913998516877,0.07843086321747722,0.019195556640625
data,24.917333333333332,1776433657.834753,2026-04-17T21:47:37.834+08:00,359.63691455512475,0.8479646335634305,-52.109160055499274,8.0,0.24,1,183.12291952727975,700.6006062389733,0.5888733524320907,True,87.05126451469708,0.045039464821573755,0.13488426970826692,91.84319035111362,0.07819689581884935,0.01739501953125
data,24.938666666666666,1776433657.850003,2026-04-17T21:47:37.850+08:00,3.2757727911574364,0.3952049275168701,-52.98794394208561,8.0,0.24,1,240.41983026430498,551.0391277978332,0.15506369973020329,True,88.52832384290318,0.053388311754093386,0.14074550058877613,91.8639172158825,0.07838371742212083,0.01800537109375
data,24.96,1776433657.8689795,2026-04-17T21:47:37.868+08:00,3.2757727911574364,0.3952049275168701,-52.36975622442501,7.629242754902143,0.24,0,278.42757733195725,577.9421766516464,4.029387760275757,True,88.51876881780674,0.05332961354388586,0.14204283058180597,91.86423554625603,0.07838659017048905,0.016815185546875
data,24.981333333333332,1776433657.9000106,2026-04-17T21:47:37.900+08:00,5.1397293226225145,0.41210979838219985,-52.99079129150304,8.0,0.24,1,99.25353940517694,518.4554901544544,0.42138187292248686,True,89.30547760682897,0.05838534838783916,0.15608536917236743,91.88371488719538,0.07856258049799908,0.0169677734375
data,25.002666666666666,1776433657.9253025,2026-04-17T21:47:37.925+08:00,5.1397293226225145,0.41210979838219985,-53.352272853056874,8.0,0.24,0,380.3680421325191,339.7490087410956,3.679228954736913,True,89.26228027624747,0.05809570274926621,0.1514151375261673,91.86886253004532,0.07842835792461847,0.01715087890625
data,25.024,1776433657.940415,2026-04-17T21:47:37.940+08:00,5.1397293226225145,0.41210979838219985,-52.34480013766617,8.0,0.24,0,159.85683064002694,470.4263347757526,3.9638190790047303,True,89.33169599814295,0.058561851039688965,0.15104826254794196,91.87748620413194,0.07850626318076061,0.019073486328125
data,25.045333333333332,1776433657.9580634,2026-04-17T21:47:37.958+08:00,5.1397293226225145,0.41210979838219985,-51.822724385920665,7.509726532939842,0.24,0,337.1518767761268,562.3780208130988,4.00106753546324,True,89.3965490152638,0.059000738333864024,0.15886846582794606,91.92248316157315,0.07891401748821807,0.01885986328125
data,25.066666666666666,1776433657.9798734,2026-04-17T21:47:37.979+08:00,5.034230100611296,0.3862552347057313,-52.36745691441339,7.839810576250578,0.24,0,416.99950672578126,527.5112985680519,0.08936288316640692,True,89.2863208568943,0.05825672126111512,0.15398992803404593,91.94313503828107,0.07910186946503872,0.01715087890625
data,25.088,1776433657.9985807,2026-04-17T21:47:37.998+08:00,5.29979077901109,0.360678359017351,-52.298869379328,8.0,0.24,0,245.46940887651328,419.448647520248,0.06970190547178899,True,89.44372876469484,0.059322088698570495,0.15310615379531828,91.87554696922375,0.07848873761933953,0.018096923828125
data,25.109333333333332,1776433658.0183048,2026-04-17T21:47:38.018+08:00,5.101476778279817,0.33602582396092656,-52.36617952726363,7.709713579568624,0.24,0,380.8833613803664,346.5985363105339,0.054472421849293795,True,89.53031564841783,0.059916409193300935,0.16770455042401916,91.94164905989891,0.07908833790767111,0.0167236328125
data,25.130666666666666,1776433658.0557008,2026-04-17T21:47:38.055+08:00,4.93527524625128,0.31479733641159496,-52.60958722774877,7.504299546009566,0.24,0,369.3228050070432,421.15760427162763,0.07156926314245349,True,89.2921964761003,0.0582961426818515,0.1554602191456316,91.84559097854314,0.07821851105513478,0.0169677734375
data,25.152,1776433658.0675392,2026-04-17T21:47:38.067+08:00,4.93527524625128,0.31479733641159496,-53.68027336167712,7.530832874495983,0.24,0,401.8158407985045,464.4529923265494,4.222785116039918,True,89.19030019604565,0.05761625225637653,0.1512313366122757,91.82149199923502,0.07800179476818056,0.016357421875
data,25.173333333333332,1776433658.087984,2026-04-17T21:47:38.087+08:00,8.394467040087534,0.5211999268472559,-53.359998737740895,7.791667545605092,0.24,0,98.28902153029775,433.070507354763,2.9096362395429116,True,90.14240926895846,0.06429104117776853,0.16776505567683508,91.8253168882218,0.07803615093866392,0.01611328125
data,25.194666666666667,1776433658.1070216,2026-04-17T21:47:38.107+08:00,12.085952973177541,0.690629294820245,-53.411701810214495,7.101577895184571,0.24,0,199.4019373129803,566.1736559120455,2.6794384921024483,True,90.13351353927922,0.06422523065280804,0.16384191732300618,91.77601677325553,0.07759448130070726,0.01611328125
data,25.216,1776433658.1289332,2026-04-17T21:47:38.128+08:00,12.22072252018296,0.643111892155469,-52.226098000037034,8.0,0.24,0,269.90016223734904,456.8934070645614,0.0984720382065187,True,90.22543368466789,0.06490851598576115,0.16580904422755285,91.83193408638532,0.0780956241122946,0.0167236328125
data,25.237333333333332,1776433658.1491585,2026-04-17T21:47:38.149+08:00,12.22072252018296,0.643111892155469,-53.345761650586724,7.635325782827092,0.24,0,353.2704336686091,269.9910004322066,3.9211397486591313,True,90.21860043335461,0.06485747207434003,0.16258402406520092,91.77383181310464,0.0775749646439014,0.0162353515625
data,25.258666666666667,1776433658.1686203,2026-04-17T21:47:38.168+08:00,12.411646459777842,0.5965596362394091,-52.86088394942931,7.726035483446612,0.24,0,280.967766724833,451.26592396277823,0.06602187109814846,True,90.2928577388168,0.0654143277515898,0.17162410157132107,91.81380938406184,0.07793283317009214,0.016387939453125
data,25.28,1776433658.1890724,2026-04-17T21:47:38.189+08:00,8.967331415543725,0.7678708896643751,-52.78481290266504,7.928414825623144,0.24,0,280.7515023216568,523.5597823723112,2.7810544294439055,True,89.85770745914125,0.06221790287354795,0.15568435132793862,91.81444341939175,0.07793852216398206,0.016510009765625
data,25.301333333333332,1776433658.2194507,2026-04-17T21:47:38.219+08:00,8.967331415543725,0.7678708896643751,-53.41864743490976,7.598045754081317,0.24,0,105.64666048869232,537.5254730910221,4.0988446031145225,True,89.89388298252814,0.06247757216136853,0.15697921832502476,91.81983926122743,0.07798695411604231,0.01556396484375
data,25.322666666666667,1776433658.2394965,2026-04-17T21:47:38.239+08:00,4.559826657657226,0.5709399478874947,-53.42385507350225,8.0,0.24,1,181.40095115478044,463.51918651694615,0.467204734328166,True,88.81274089140344,0.055165434127637886,0.14592450481667363,91.77517083181445,0.07758692453983115,0.015777587890625
data,25.344,1776433658.2587895,2026-04-17T21:47:38.258+08:00,4.559826657657226,0.5709399478874947,-53.73606408567207,7.624023033378419,0.24,0,142.19861982679132,498.1577121051009,3.923384969969265,True,88.82375312799716,0.055235418907642206,0.1407729927649293,91.8229533270976,0.0780149190179607,0.0167236328125
data,25.365333333333332,1776433658.2792184,2026-04-17T21:47:38.279+08:00,4.559826657657226,0.5709399478874947,-53.04165964984079,7.6558815545700405,0.24,0,312.4218494676852,354.9299735401354,3.575208241979933,True,88.87967177950414,0.05559216461095039,0.14371640621695522,91.86756071419255,0.07841660419148141,0.0162353515625
data,25.386666666666667,1776433658.300264,2026-04-17T21:47:38.300+08:00,4.559826657657226,0.5709399478874947,-53.04514594003727,7.698563797474695,0.24,0,383.91443047930363,222.74788722091893,0.04132874912751614,True,88.87698815302095,0.05557499129113529,0.14995488434061263,91.82442696399363,0.07802815605192179,0.016326904296875
